,Years,Months,Crime Rate
253,1998,8,4.5
254,1998,7,4.5
255,1998,6,4.5
256,1998,5,4.4
257,1998,4,4.3
258,1998,3,4.7
259,1998,2,4.6
260,1998,1,4.6
261,1997,12,4.7
262,1997,11,4.6
263,1997,10,4.7
264,1997,9,4.9
265,1997,8,4.8
266,1997,7,4.9
267,1997,6,5.0
268,1997,5,4.9
269,1997,4,5.1
270,1997,3,5.2
271,1997,2,5.2
272,1997,1,5.3
273,1996,12,5.4
274,1996,11,5.4
275,1996,10,5.2
276,1996,9,5.2
277,1996,8,5.1
278,1996,7,5.5
279,1996,6,5.3
280,1996,5,5.6
281,1996,4,5.6
282,1996,3,5.5
283,1996,2,5.5
284,1996,1,5.6
285,1995,12,5.6
286,1995,11,5.6
287,1995,10,5.5
288,1995,9,5.6
289,1995,8,5.7
290,1995,7,5.7
291,1995,6,5.6
292,1995,5,5.6
293,1995,4,5.8
294,1995,3,5.4
295,1995,2,5.4
296,1995,1,5.6
297,1994,12,5.5
298,1994,11,5.6
299,1994,10,5.8
300,1994,9,5.9
301,1994,8,6.0
302,1994,7,6.1
303,1994,6,6.1
304,1994,5,6.1
305,1994,4,6.4
306,1994,3,6.5
307,1994,2,6.6
308,1994,1,6.6
309,1993,12,6.5
310,1993,11,6.6
311,1993,10,6.8
312,1993,9,6.7
313,1993,8,6.8
314,1993,7,6.9
315,1993,6,7.0
316,1993,5,7.1
317,1993,4,7.1
318,1993,3,7.0
319,1993,2,7.1
320,1993,1,7.3
321,1992,12,7.4
322,1992,11,7.4
323,1992,10,7.3
324,1992,9,7.6
325,1992,8,7.6
326,1992,7,7.7
327,1992,6,7.8
328,1992,5,7.6
329,1992,4,7.4
330,1992,3,7.4
331,1992,2,7.4
332,1992,1,7.3
333,1991,12,7.3
334,1991,11,7.0
335,1991,10,7.0
336,1991,9,6.9
337,1991,8,6.9
338,1991,7,6.8
339,1991,6,6.9
340,1991,5,6.9
341,1991,4,6.7
342,1991,3,6.8
343,1991,2,6.6
344,1991,1,6.4
345,1990,12,6.3
346,1990,11,6.2
347,1990,10,5.9
348,1990,9,5.9
349,1990,8,5.7
350,1990,7,5.5
351,1990,6,5.2
352,1990,5,5.4
353,1990,4,5.4
354,1990,3,5.2
355,1990,2,5.3
356,1990,1,5.4
357,1989,12,5.4
358,1989,11,5.4
359,1989,10,5.3
360,1989,9,5.3
361,1989,8,5.2
362,1989,7,5.2
363,1989,6,5.3
364,1989,5,5.2
365,1989,4,5.2
366,1989,3,5.0
367,1989,2,5.2
368,1989,1,5.4
369,1988,12,5.3
370,1988,11,5.3
371,1988,10,5.4
372,1988,9,5.4
373,1988,8,5.6
374,1988,7,5.4
375,1988,6,5.4
376,1988,5,5.6
377,1988,4,5.4
378,1988,3,5.7
379,1988,2,5.7
380,1988,1,5.7
381,1987,12,5.7
382,1987,11,5.8
383,1987,10,6.0
384,1987,9,5.9
385,1987,8,6.0
386,1987,7,6.1
387,1987,6,6.2
388,1987,5,6.3
389,1987,4,6.3
390,1987,3,6.6
391,1987,2,6.6
392,1987,1,6.6
393,1986,12,6.6
394,1986,11,6.9
395,1986,10,7.0
396,1986,9,7.0
397,1986,8,6.9
398,1986,7,7.0
399,1986,6,7.2
400,1986,5,7.2
401,1986,4,7.1
402,1986,3,7.2
403,1986,2,7.2
404,1986,1,6.7
405,1985,12,7.0
406,1985,11,7.0
407,1985,10,7.1
408,1985,9,7.1
409,1985,8,7.1
410,1985,7,7.4
411,1985,6,7.4
412,1985,5,7.2
413,1985,4,7.3
414,1985,3,7.2
415,1985,2,7.2
416,1985,1,7.3
417,1984,12,7.3
418,1984,11,7.2
419,1984,10,7.4
420,1984,9,7.3
421,1984,8,7.5
422,1984,7,7.5
423,1984,6,7.2
424,1984,5,7.4
425,1984,4,7.7
426,1984,3,7.8
427,1984,2,7.8
428,1984,1,8.0
429,1983,12,8.3
430,1983,11,8.5
431,1983,10,8.8
432,1983,9,9.2
433,1983,8,9.5
434,1983,7,9.4
435,1983,6,10.1
436,1983,5,10.1
437,1983,4,10.2
438,1983,3,10.3
439,1983,2,10.4
440,1983,1,10.4
441,1982,12,10.8
442,1982,11,10.8
443,1982,10,10.4
444,1982,9,10.1
445,1982,8,9.8
446,1982,7,9.8
447,1982,6,9.6
448,1982,5,9.4
449,1982,4,9.3
450,1982,3,9.0
451,1982,2,8.9
452,1982,1,8.6
453,1981,12,8.5
454,1981,11,8.3
455,1981,10,7.9
456,1981,9,7.6
457,1981,8,7.4
458,1981,7,7.2
459,1981,6,7.5
460,1981,5,7.5
461,1981,4,7.2
462,1981,3,7.4
463,1981,2,7.4
464,1981,1,7.5
465,1980,12,7.2
466,1980,11,7.5
467,1980,10,7.5
468,1980,9,7.5
469,1980,8,7.7
470,1980,7,7.8
471,1980,6,7.6
472,1980,5,7.5
473,1980,4,6.9
474,1980,3,6.3
475,1980,2,6.3
476,1980,1,6.3
477,1979,12,6.0
478,1979,11,5.9
479,1979,10,6.0
480,1979,9,5.9
481,1979,8,6.0
